initiative_id,title,authors,type,url
263616,Recomenda ao Governo que conclua a revisão do Estatuto dos Funcionários de Justiça e proceda à contratação urgente de funcionários judiciais  ,PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e4755324d574d774f546b744e3249354e5330304e4752684c546b794e574d745a575935597a49335a6d4d7a4d474e6c4c6d52765933673d&fich=4e61c099-7b95-44da-925c-ef9c27fc30ce.docx&Inline=true
263587,Recomenda que o Estado português não adira ao Tratado Pandémico,CH,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474d354e544a6a4e7a49745a446b775a6930305a6a67354c5749785a4759744e5463774d7a55334d6a4d7a4e5449314c6d52765933673d&fich=4c952c72-d90f-4f89-b1df-570357233525.docx&Inline=true
263796,Recomenda ao Governo a abertura de uma urgência básica de funcionamento diário e com horário alargado e a atualização da página de internet do Hospital do Arcebispo João Crisóstomo,L,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6a49325a6d4d324e5745744d6a45324e433030596a526c4c5749774e3249744d6d49785954566b4d5749774d7a59794c6d52765933673d&fich=f26fc65a-2164-4b4e-b07b-2b1a5d1b0362.docx&Inline=true
263592,Transparência nas opções de política económica e rejeição do Programa de Estabilidade 2024-2028,BE,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d474a6d4f474d77597a41744d6d4e6c4e7930304e7a6b324c546b305a4451744f4441774e4759354e325a6c4e4745334c6d527659773d3d&fich=0bf8c0c0-2ce7-4796-94d4-8004f97fe4a7.doc&Inline=true
263630,"Aprovação de novos modelos de avaliação dos alunos, assentes em princípios de avaliação contínua, eliminando os exames e revendo o regime de provas de aferição incluindo a digitalização",PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d324e6b597a526a4d6a67744e57466d4f5330304d5463344c5749304e7a67744e7a49784e7a526d5957517a5a4759304c6d52765933673d&fich=3cdc4c28-5af9-4178-b478-72174fad3df4.docx&Inline=true
263868,Recomenda ao Governo a revisão da tabela de gratificados da PSP,CH,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e544a685a4755344d7a4d744e545132596930304e6a6b314c574577595441745a6a6b31593255324d5755305a4468684c6d52765933673d&fich=52ade833-546b-4695-a0a0-f95ce61e4d8a.docx&Inline=true
263595,Pela valorização remuneratória e social dos militares das Forças Armadas,PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d4449784d574e68595459744e44686c5a5330305a6a6b774c546c6c4f574d74596a51775a5445324f5749334d6d4d774c6d527659773d3d&fich=0211caa6-48ee-4f90-9e9c-b40e169b72c0.doc&Inline=true
263611,Recomenda a valorização salarial e do estatuto dos nadadores-salvadores e a dinamização de um dispositivo permanente e sazonal de nadadores-salvadores ,BE,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a4d77593251354f5455744f574e6a4f5330305932457a4c5749334e4755744d3246684d444d315a47526b5a5441344c6d52765933673d&fich=630cd995-9cc9-4ca3-b74e-3aa035ddde08.docx&Inline=true
263601,Pela transparência da execução orçamental e garantia de envolvimento da Assembleia da República na aplicação de receita fiscal extraordinária face à prevista no Programa de Estabilidade 2024-2028,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576595455324e546b795a4445745a5459774f4330305a446b794c546c6a4e6a51745a544e6d597a526c4e44637a4e6a5a6a4c6d52765933673d&fich=a56592d1-e608-4d92-9c64-e3fc4e47366c.docx&Inline=true
263632,Programa de emergência para o Serviço Nacional de Saúde,PCP,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a5934596d59314f5441744f4759344d7930305a6d49774c546b334f5455744f44597a596d59324d32517a4f574e6b4c6d527659773d3d&fich=368bf590-8f83-4fb0-9795-863bf63d39cd.doc&Inline=true
