initiative_id,act_id,phase,notes
263751,,Votação Deliberação,
263721,,Votação na generalidade,
263794,,Discussão generalidade,
263820,,Votação Deliberação,
263849,,Votação Deliberação,
263857,,Requerimento Baixa Comissão sem Votação (Generalidade),"Requerimento, apresentado pelo PSD, solicitando a baixa à Comissão de Assuntos Constitucionais, Direitos, Liberdade e Garantias, sem votação, por 30 dias"
263755,,Votação na generalidade,
263876,,Votação na generalidade,
263876,,Votação final global,
283995,,Votação na generalidade,
283995,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo aos Projetos de Resolução n.ºs 233/XVI/1.ª (BE) e  251/XVI/1.ª (CH)"
273973,,Votação na generalidade,
273973,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo aos Projetos de Resolução n.ºs 233/XVI/1.ª (BE) e  251/XVI/1.ª (CH)"
263880,,Votação na generalidade,
263865,,Votação na generalidade,
284022,,Votação na generalidade,
284022,,Votação final global,
273957,,Votação Deliberação,
263886,,Votação na generalidade,
273974,,Votação Deliberação,
284060,,Votação na generalidade,
284060,,Votação final global,"Texto Final apresentado pela Comissão de Trabalho, Segurança Social e Inclusão"
283981,,Votação Deliberação,
273939,,Votação Deliberação,
263885,,Votação na generalidade,
284045,,Votação na generalidade,
284045,,Votação final global,
284088,,Votação na generalidade,
284088,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 298/XVI/1.ª (CDS-PP), n.º 350/XVI/1.ª (PAN), n.º 361/XVI/1.ª (PCP), n.º 368/XVI/1.ª (L) e n.º 377/XVI/1.ª (BE) "
284048,,Votação na generalidade,
284048,,Votação final global,
284096,,Votação na generalidade,
284096,,Votação final global,
283977,,Votação na generalidade,
284004,,Votação na generalidade,
284004,,Votação final global,
284074,,Votação na generalidade,
284074,,Votação final global,
273952,,Votação na generalidade,
273944,,Votação Deliberação,
283989,40888,Votação na generalidade,
294132,,Votação na generalidade,
294132,,Votação final global,"Texto Final apresentado pela Comissão de Educação e Ciência relativo aos Projetos de Resolução n.º 323/XVI/1.ª (PS), n.º 326/XVI/1.ª (BE) e n.º 327/XVI/1.ª (PAN) "
284002,,Votação Deliberação,
284016,,Votação Deliberação,
304139,,Votação na generalidade,
304139,,Votação final global,
294125,,Votação na generalidade,
294125,,Votação final global,
284089,,Votação Deliberação,
284091,,Votação Deliberação,
294112,,Votação Deliberação,
284023,,Votação Deliberação,
294104,,Votação Deliberação,
294105,,Votação Deliberação,
304154,,Votação na generalidade,
304154,,Votação final global,Texto Final apresentado pela Comissão de Agricultura e Pescas relativo ao Projeto de Resolução n.º 339/XVI/1.ª (L)
304166,,Votação na generalidade,
304166,,Votação final global,
294115,,Votação Deliberação,
304173,,Votação na generalidade,
304173,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 298/XVI/1.ª (CDS-PP), n.º 350/XVI/1.ª (PAN), n.º 361/XVI/1.ª (PCP), n.º 368/XVI/1.ª (L) e n.º 377/XVI/1.ª (BE) "
294100,,Votação na generalidade,
304204,,Votação na generalidade,
304204,,Votação final global,"Texto Final apresentado pela Comissão de Economia, Obras Públicas e Habitação relativo ao Projeto de Resolução n.º 372/XVI/1.ª (L)"
304213,,Votação na generalidade,
304213,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 298/XVI/1.ª (CDS-PP), n.º 350/XVI/1.ª (PAN), n.º 361/XVI/1.ª (PCP), n.º 368/XVI/1.ª (L) e n.º 377/XVI/1.ª (BE) "
284070,,Votação na generalidade,
284078,,Votação Deliberação,
284072,,Votação na generalidade,
304243,40457,Votação na generalidade,
304243,,Votação final global,
304289,,Votação na generalidade,
304289,,Votação final global,"Texto Final apresentado pela Comissão de Cultura, Comunicação, Juventude e Desporto relativo aos Projetos de Resolução n.ºs 400/XVI/1.ª (PCP) e 418/XVI/1.ª (PS)"
304238,,Votação na generalidade,
304238,,Votação final global,
294109,40887,Votação na generalidade,
304179,,Votação na generalidade,
304179,,Votação final global,
304294,,Votação na generalidade,
304294,,Votação final global,
304161,,Votação Deliberação,
304302,,Votação na generalidade,
304302,,Votação final global,
304325,,Votação na generalidade,
304325,,Votação final global,"Texto Final apresentado pela Comissão de Economia, Obras Públicas e Habitação relativo ao Projeto de Resolução n.º 442/XVI/1.ª (PSD)"
294140,,Votação na generalidade,
304147,,Votação na generalidade,
304287,,Votação Deliberação,
304331,,Votação na generalidade,
304331,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 242/XVI/1.ª (CH), n.º 446/XVI/1.ª (PS), n.º 454/XVI/1.ª (PAN), n.º 457/XVI/1.ª (PCP) e n.º 460/XVI/1.ª (L)"
304186,,Votação na generalidade,
304298,,Votação Deliberação,
304345,,Votação na generalidade,
304345,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 242/XVI/1.ª (CH), n.º 446/XVI/1.ª (PS), n.º 454/XVI/1.ª (PAN), n.º 457/XVI/1.ª (PCP) e n.º 460/XVI/1.ª (L)"
304183,,Votação na generalidade,
304350,,Votação na generalidade,
304350,,Votação final global,"Texto final apresentado pela Comissão de Saúde relativo aos Projetos de Resolução n.º 242/XVI/1.ª (CH), n.º 446/XVI/1.ª (PS), n.º 454/XVI/1.ª (PAN), n.º 457/XVI/1.ª (PCP) e n.º 460/XVI/1.ª (L)"
304202,,Votação na generalidade,
304388,,Votação na generalidade,
304388,,Requerimento avocação plenário,
304388,,Votação na especialidade,
304388,,Votação final global,
304318,,Votação na generalidade,
314437,,Votação na generalidade,
314437,,Votação final global,
304269,,Votação Deliberação,
304275,,Votação Deliberação,
304255,,Votação na generalidade,
304293,,Votação Deliberação,
304308,,Votação Deliberação,
304315,,Votação na generalidade,
304333,,Votação na generalidade,
304385,,Votação na generalidade,
314505,,Votação na generalidade,
314505,,Votação final global,
314521,,Votação na generalidade,
314521,,Votação final global,"Texto Final relativo aos Projetos de Resolução n.º 528/XVI/1.ª (BE), n.º 541/XVI/1.ª (PAN) e n.º 552/XVI/1.ª (L), apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias "
314510,,Votação na generalidade,
314510,,Votação final global,
304391,,Votação na generalidade,
314427,,Votação Deliberação,
314419,,Votação Deliberação,
314462,,Votação na generalidade,
314441,,Votação na generalidade,
314526,,Votação Deliberação,
314551,,Votação na generalidade,
